column_name,table_or_view,dtype,semantics,valid_range,nullability,units,temporal_classification,provenance_step,invariant_notes
match_id,matches_history_minimal,VARCHAR,Cross-dataset unique match identifier. Format: '<dataset_tag>::<native_id>'. For sc2egset: 'sc2egset::<32-char-hex-replay_id>'. Prefix guarantees UNION ALL uniqueness across sibling datasets. Length c,see notes,NULLABLE,none,IDENTIFIER,01_04_03,IDENTITY. Prefix applied in this VIEW only; upstream replay_id unchanged (I9).
started_at,matches_history_minimal,TIMESTAMP,"Match start time. TIMESTAMP (no TZ) via TRY_CAST(matches_flat_clean.details_timeUTC AS TIMESTAMP). Canonical cross-dataset dtype: sibling VIEWs (aoestats, aoe2companion) MUST emit TIMESTAMP (aoestats ",see notes,NULLABLE,none,METADATA,01_04_03,"CONTEXT. Temporal anchor for Phase 02 rating-update loops. Chronologically faithful (TIMESTAMP ordering, not lex)."
player_id,matches_history_minimal,VARCHAR,Focal player identifier. sc2egset: Battle.net toon_id.,see notes,NULLABLE,none,IDENTIFIER,01_04_03,IDENTITY. Per-dataset identifier; cross-dataset identity resolution is a future step (Phase 01_05+).
opponent_id,matches_history_minimal,VARCHAR,Opposing player identifier. Same grain and provenance as player_id.,see notes,NULLABLE,none,IDENTIFIER,01_04_03,IDENTITY.
faction,matches_history_minimal,VARCHAR,Focal player's faction. Per-dataset polymorphic vocabulary (cross-dataset column name + dtype only -- values differ in ontology). sc2egset: 4-char race stems Prot/Terr/Zerg (empirically verified; NOT ,see notes,NULLABLE,none,PRE_GAME,01_04_03,"PRE_GAME. Raw vocabulary (race actually played, not selectedRace which includes 'Random'). Polymorphic I8 contract -- see description."
opponent_faction,matches_history_minimal,VARCHAR,Opposing player's faction (same per-dataset vocabulary as `faction`).,see notes,NULLABLE,none,PRE_GAME,01_04_03,PRE_GAME. Mirror of faction from the opponent row.
won,matches_history_minimal,BOOLEAN,"TRUE if the focal player won, FALSE otherwise. The two rows of a match have complementary `won` values (exactly one TRUE, one FALSE).","{TRUE, FALSE, NULL}",NULLABLE,none,TARGET,01_04_03,TARGET. Direct projection of matches_flat_clean.result; prediction label for downstream experiments.
duration_seconds,matches_history_minimal,BIGINT,Match duration in seconds (POST_GAME_HISTORICAL). For sc2egset: CAST(player_history_all.header_elapsedGameLoops / 22.4 AS BIGINT). Aggregated per replay via ANY_VALUE before joining (player_history_al,≥0s; NULL if not parseable,NULLABLE,seconds,POST_GAME_HISTORICAL,01_04_03,"POST_GAME_HISTORICAL. Available only after match end. DO NOT use as PRE_GAME feature for predicting match T outcome (I3 violation). Useful for retrospective analysis: rating-update weighting, learning-curve measurement, game-length-conditioned BTL. Phase 02 feature extractors that drop POST_GAME_HIS"
dataset_tag,matches_history_minimal,VARCHAR,Dataset discriminator for UNION ALL across sibling datasets. Constant 'sc2egset' in this VIEW.,constant 'sc2egset',NOT NULL,none,IDENTIFIER,01_04_03,IDENTITY. Matches the prefix before '::' in match_id.
replay_id,matches_flat_clean,VARCHAR,Canonical join key extracted via regexp. NULLIF empty-string guard applied.,see notes,NULLABLE,none,IDENTIFIER,01_04_02,IDENTITY. Canonical join key extracted via regexp. NULLIF empty-string guard applied.
filename,matches_flat_clean,VARCHAR,Replay file path relative to raw_dir. Invariant I10.,see notes,NULLABLE,none,IDENTIFIER,01_04_02,IDENTITY. Replay file path relative to raw_dir. Invariant I10.
