dataset_tag,quarter,feature_name,metric_name,metric_value,metric_ci_low,metric_ci_high,reference_window_id,cohort_threshold,sample_size,notes
aoe2companion,2023-Q1,rating,psi,0.1247,,,2022-Q3Q4,10,5260,"[POP:ranked_ladder] aoec is online-ladder dataset; findings condition on ranked-ladder participation, not overall AoE2 population.; B-02: feature_name matches VIEW schema (faction, map_id, rating, won). Cross-dataset alignment is on metric_name only per critique pre-authorization.; M-04: Yurdakul 2018 WMU #3208 thresholds not calibrated at N>10^6"
aoe2companion,2023-Q1,rating,cohen_d,0.0887,,,2022-Q3Q4,10,5260,"[POP:ranked_ladder] aoec is online-ladder dataset; findings condition on ranked-ladder participation, not overall AoE2 population.; B-02: feature_name matches VIEW schema (faction, map_id, rating, won). Cross-dataset alignment is on metric_name only per critique pre-authorization."
aoe2companion,2023-Q1,won,cohen_h,0.0,,,2022-Q3Q4,10,3976434,"[POP:ranked_ladder] aoec is online-ladder dataset; findings condition on ranked-ladder participation, not overall AoE2 population.; B-02: feature_name matches VIEW schema (faction, map_id, rating, won). Cross-dataset alignment is on metric_name only per critique pre-authorization.; M-03: h vs reference p_ref"
aoe2companion,2023-Q1,faction,psi,0.0094,,,2022-Q3Q4,10,3975882,"[POP:ranked_ladder] aoec is online-ladder dataset; findings condition on ranked-ladder participation, not overall AoE2 population.; B-02: feature_name matches VIEW schema (faction, map_id, rating, won). Cross-dataset alignment is on metric_name only per critique pre-authorization.; __unseen__: 0 rows; M-04: Yurdakul 2018 thresholds not calibrated at N>10^6"
aoe2companion,2023-Q1,map_id,psi,1.1115,,,2022-Q3Q4,10,3975882,"[POP:ranked_ladder] aoec is online-ladder dataset; findings condition on ranked-ladder participation, not overall AoE2 population.; B-02: feature_name matches VIEW schema (faction, map_id, rating, won). Cross-dataset alignment is on metric_name only per critique pre-authorization.; __unseen__: 170644 rows; M-04: Yurdakul 2018 thresholds not calibrated at N>10^6"
aoe2companion,2023-Q2,rating,psi,0.0989,,,2022-Q3Q4,10,8302,"[POP:ranked_ladder] aoec is online-ladder dataset; findings condition on ranked-ladder participation, not overall AoE2 population.; B-02: feature_name matches VIEW schema (faction, map_id, rating, won). Cross-dataset alignment is on metric_name only per critique pre-authorization.; M-04: Yurdakul 2018 WMU #3208 thresholds not calibrated at N>10^6"
aoe2companion,2023-Q2,rating,cohen_d,0.2189,,,2022-Q3Q4,10,8302,"[POP:ranked_ladder] aoec is online-ladder dataset; findings condition on ranked-ladder participation, not overall AoE2 population.; B-02: feature_name matches VIEW schema (faction, map_id, rating, won). Cross-dataset alignment is on metric_name only per critique pre-authorization."
aoe2companion,2023-Q2,won,cohen_h,0.0,,,2022-Q3Q4,10,3867538,"[POP:ranked_ladder] aoec is online-ladder dataset; findings condition on ranked-ladder participation, not overall AoE2 population.; B-02: feature_name matches VIEW schema (faction, map_id, rating, won). Cross-dataset alignment is on metric_name only per critique pre-authorization.; M-03: h vs reference p_ref"
aoe2companion,2023-Q2,faction,psi,0.0696,,,2022-Q3Q4,10,3867000,"[POP:ranked_ladder] aoec is online-ladder dataset; findings condition on ranked-ladder participation, not overall AoE2 population.; B-02: feature_name matches VIEW schema (faction, map_id, rating, won). Cross-dataset alignment is on metric_name only per critique pre-authorization.; __unseen__: 11881 rows; M-04: Yurdakul 2018 thresholds not calibrated at N>10^6"
aoe2companion,2023-Q2,map_id,psi,1.4496,,,2022-Q3Q4,10,3867000,"[POP:ranked_ladder] aoec is online-ladder dataset; findings condition on ranked-ladder participation, not overall AoE2 population.; B-02: feature_name matches VIEW schema (faction, map_id, rating, won). Cross-dataset alignment is on metric_name only per critique pre-authorization.; __unseen__: 174592 rows; M-04: Yurdakul 2018 thresholds not calibrated at N>10^6"
aoe2companion,2023-Q3,rating,psi,0.7116,,,2022-Q3Q4,10,1994204,"[POP:ranked_ladder] aoec is online-ladder dataset; findings condition on ranked-ladder participation, not overall AoE2 population.; B-02: feature_name matches VIEW schema (faction, map_id, rating, won). Cross-dataset alignment is on metric_name only per critique pre-authorization.; M-04: Yurdakul 2018 WMU #3208 thresholds not calibrated at N>10^6"
aoe2companion,2023-Q3,rating,cohen_d,0.6114,,,2022-Q3Q4,10,1994204,"[POP:ranked_ladder] aoec is online-ladder dataset; findings condition on ranked-ladder participation, not overall AoE2 population.; B-02: feature_name matches VIEW schema (faction, map_id, rating, won). Cross-dataset alignment is on metric_name only per critique pre-authorization."
aoe2companion,2023-Q3,won,cohen_h,0.0,,,2022-Q3Q4,10,3704278,"[POP:ranked_ladder] aoec is online-ladder dataset; findings condition on ranked-ladder participation, not overall AoE2 population.; B-02: feature_name matches VIEW schema (faction, map_id, rating, won). Cross-dataset alignment is on metric_name only per critique pre-authorization.; M-03: h vs reference p_ref"
aoe2companion,2023-Q3,faction,psi,0.2521,,,2022-Q3Q4,10,3703836,"[POP:ranked_ladder] aoec is online-ladder dataset; findings condition on ranked-ladder participation, not overall AoE2 population.; B-02: feature_name matches VIEW schema (faction, map_id, rating, won). Cross-dataset alignment is on metric_name only per critique pre-authorization.; __unseen__: 76375 rows; M-04: Yurdakul 2018 thresholds not calibrated at N>10^6"
aoe2companion,2023-Q3,map_id,psi,2.2904,,,2022-Q3Q4,10,3703836,"[POP:ranked_ladder] aoec is online-ladder dataset; findings condition on ranked-ladder participation, not overall AoE2 population.; B-02: feature_name matches VIEW schema (faction, map_id, rating, won). Cross-dataset alignment is on metric_name only per critique pre-authorization.; __unseen__: 278364 rows; M-04: Yurdakul 2018 thresholds not calibrated at N>10^6"
aoe2companion,2023-Q4,rating,psi,0.6963,,,2022-Q3Q4,10,3876862,"[POP:ranked_ladder] aoec is online-ladder dataset; findings condition on ranked-ladder participation, not overall AoE2 population.; B-02: feature_name matches VIEW schema (faction, map_id, rating, won). Cross-dataset alignment is on metric_name only per critique pre-authorization.; M-04: Yurdakul 2018 WMU #3208 thresholds not calibrated at N>10^6"
