view,column,dtype,n_total,n_null,pct_null,sentinel_value,n_sentinel,pct_sentinel,pct_missing_total,n_distinct,mechanism,mechanism_justification,recommendation,recommendation_justification,carries_semantic_content,is_primary_feature
matches_1v1_clean,matchId,INTEGER,61062392,0,0.0,,0,0.0,0.0,,N/A,Identity column; n_distinct check skipped per W6 (constants-detection runtime budget). Zero NULLs by definition (asserted upstream).,RETAIN_AS_IS,Identity column; no missingness possible by upstream assertion.,False,False
matches_1v1_clean,started,TIMESTAMP,61062392,0,0.0,,0,0.0,0.0,26623674.0,N/A,Zero missingness observed; no action needed.,RETAIN_AS_IS,Zero missingness observed; no action needed.,False,False
matches_1v1_clean,leaderboard,VARCHAR,61062392,0,0.0,,0,0.0,0.0,2.0,N/A,Zero missingness observed; no action needed.,RETAIN_AS_IS,Zero missingness observed; no action needed.,False,False
matches_1v1_clean,name,VARCHAR,61062392,37,0.0001,,0,0.0,0.0001,654896.0,MCAR,Display name; near-zero null per 01_02_04.,RETAIN_AS_IS,Rate 0.00% < 5% (Schafer & Graham 2002 boundary citation). Listwise deletion or simple imputation acceptable in Phase 02.,False,False
matches_1v1_clean,server,VARCHAR,61062392,59469814,97.3919,,0,0.0,97.3919,9.0,MNAR,Structurally absent for certain API versions. 01_02_04 reports null_pct=97.99%.,DROP_COLUMN,NULL+sentinel rate 97.39% exceeds 80% (Rule S4 / van Buuren 2018). Imputation indefensible at this rate.,False,False
matches_1v1_clean,internalLeaderboardId,INTEGER,61062392,0,0.0,,0,0.0,0.0,2.0,N/A,Zero missingness observed; no action needed.,RETAIN_AS_IS,Zero missingness observed; no action needed.,False,False
matches_1v1_clean,privacy,VARCHAR,61062392,0,0.0,,0,0.0,0.0,3.0,N/A,Zero missingness observed; no action needed.,RETAIN_AS_IS,Zero missingness observed; no action needed.,False,False
matches_1v1_clean,mod,BOOLEAN,61062392,0,0.0,,0,0.0,0.0,1.0,N/A,"True constant column; n_distinct=1 across 61,062,392 rows (zero NULLs, zero sentinels). No information content for prediction.",DROP_COLUMN,True constant column; n_distinct=1; no information content.,False,False
matches_1v1_clean,map,VARCHAR,61062392,0,0.0,,0,0.0,0.0,94.0,N/A,Zero missingness observed; no action needed.,RETAIN_AS_IS,Zero missingness observed; no action needed.,False,False
matches_1v1_clean,difficulty,VARCHAR,61062392,0,0.0,,0,0.0,0.0,3.0,N/A,Zero missingness observed; no action needed.,RETAIN_AS_IS,Zero missingness observed; no action needed.,False,False
matches_1v1_clean,startingAge,VARCHAR,61062392,0,0.0,,0,0.0,0.0,4.0,N/A,Zero missingness observed; no action needed.,RETAIN_AS_IS,Zero missingness observed; no action needed.,False,False
matches_1v1_clean,fullTechTree,BOOLEAN,61062392,11198,0.0183,,0,0.0,0.0183,1.0,MAR,Boolean game setting; 01_02_04 evidence -- ranked-1v1 default.,RETAIN_AS_IS,Rate 0.02% < 5% (Schafer & Graham 2002 boundary citation). Listwise deletion or simple imputation acceptable in Phase 02.,False,False
matches_1v1_clean,allowCheats,BOOLEAN,61062392,11196,0.0183,,0,0.0,0.0183,2.0,MAR,Boolean game setting; 01_02_04 evidence -- ranked-1v1 default. NULL-cluster member (R04).,RETAIN_AS_IS,Rate 0.02% < 5% (Schafer & Graham 2002 boundary citation). Listwise deletion or simple imputation acceptable in Phase 02.,False,False
matches_1v1_clean,empireWarsMode,BOOLEAN,61062392,215820,0.3534,,0,0.0,0.3534,2.0,MAR,Boolean game mode; 01_02_04 evidence -- variant indicator.,RETAIN_AS_IS,Rate 0.35% < 5% (Schafer & Graham 2002 boundary citation). Listwise deletion or simple imputation acceptable in Phase 02.,False,False
matches_1v1_clean,endingAge,VARCHAR,61062392,0,0.0,,0,0.0,0.0,4.0,N/A,Zero missingness observed; no action needed.,RETAIN_AS_IS,Zero missingness observed; no action needed.,False,False
matches_1v1_clean,gameMode,VARCHAR,61062392,0,0.0,,0,0.0,0.0,4.0,N/A,Zero missingness observed; no action needed.,RETAIN_AS_IS,Zero missingness observed; no action needed.,False,False
matches_1v1_clean,lockSpeed,BOOLEAN,61062392,11196,0.0183,,0,0.0,0.0183,2.0,MAR,Boolean game setting; 01_02_04 evidence. NULL-cluster member.,RETAIN_AS_IS,Rate 0.02% < 5% (Schafer & Graham 2002 boundary citation). Listwise deletion or simple imputation acceptable in Phase 02.,False,False
matches_1v1_clean,lockTeams,BOOLEAN,61062392,11186,0.0183,,0,0.0,0.0183,2.0,MAR,Boolean game setting; 01_02_04 evidence. NULL-cluster member.,RETAIN_AS_IS,Rate 0.02% < 5% (Schafer & Graham 2002 boundary citation). Listwise deletion or simple imputation acceptable in Phase 02.,False,False
matches_1v1_clean,mapSize,VARCHAR,61062392,0,0.0,,0,0.0,0.0,5.0,N/A,Zero missingness observed; no action needed.,RETAIN_AS_IS,Zero missingness observed; no action needed.,False,False
matches_1v1_clean,population,INTEGER,61062392,11198,0.0183,,0,0.0,0.0183,2.0,MAR,Population cap; 01_02_04 evidence. NULL-cluster member.,RETAIN_AS_IS,Rate 0.02% < 5% (Schafer & Graham 2002 boundary citation). Listwise deletion or simple imputation acceptable in Phase 02.,False,False
matches_1v1_clean,hideCivs,BOOLEAN,61062392,22701220,37.1771,,0,0.0,37.1771,2.0,MAR,Schema-evolution column (patch-dependent). 01_02_04 reports null_pct=49.30%.,FLAG_FOR_IMPUTATION,Rate 37.18% in 5-40%; flag for Phase 02 imputation.,False,False
matches_1v1_clean,recordGame,BOOLEAN,61062392,11196,0.0183,,0,0.0,0.0183,2.0,MAR,Boolean game setting; 01_02_04 evidence. NULL-cluster member.,RETAIN_AS_IS,Rate 0.02% < 5% (Schafer & Graham 2002 boundary citation). Listwise deletion or simple imputation acceptable in Phase 02.,False,False
matches_1v1_clean,regicideMode,BOOLEAN,61062392,1862388,3.05,,0,0.0,3.05,2.0,MAR,Boolean game mode; 01_02_04 evidence -- variant indicator.,RETAIN_AS_IS,Rate 3.05% < 5% (Schafer & Graham 2002 boundary citation). Listwise deletion or simple imputation acceptable in Phase 02.,False,False
matches_1v1_clean,gameVariant,VARCHAR,61062392,0,0.0,,0,0.0,0.0,2.0,N/A,Zero missingness observed; no action needed.,RETAIN_AS_IS,Zero missingness observed; no action needed.,False,False
matches_1v1_clean,resources,VARCHAR,61062392,0,0.0,,0,0.0,0.0,4.0,N/A,Zero missingness observed; no action needed.,RETAIN_AS_IS,Zero missingness observed; no action needed.,False,False
