column_name,table_or_view,dtype,semantics,valid_range,nullability,units,temporal_classification,provenance_step,invariant_notes
match_id,matches_history_minimal,VARCHAR,"Cross-dataset unique match identifier. Format: '<dataset_tag>::<native_id>'. For aoestats: 'aoestats::<game_id>' where game_id is an opaque VARCHAR (variable length, no fixed-length constraint). Prefi",see notes,NULLABLE,none,IDENTIFIER,01_04_03,IDENTITY. Prefix applied in this VIEW only; upstream game_id unchanged (I9).
started_at,matches_history_minimal,TIMESTAMP,Match start time. TIMESTAMP (no TZ) via CAST(started_timestamp AT TIME ZONE 'UTC' AS TIMESTAMP). Upstream matches_1v1_clean.started_timestamp is TIMESTAMP WITH TIME ZONE (TIMESTAMPTZ); the AT TIME ZON,see notes,NULLABLE,none,METADATA,01_04_03,CONTEXT. Temporal anchor for Phase 02 rating-update loops. Chronologically faithful (TIMESTAMP ordering; upstream TIMESTAMPTZ preserved semantics).
player_id,matches_history_minimal,VARCHAR,"Focal player identifier. aoestats: CAST(p{0,1}_profile_id AS VARCHAR) (upstream BIGINT).",see notes,NULLABLE,none,IDENTIFIER,01_04_03,IDENTITY. Per-dataset identifier; cross-dataset identity resolution is a future step (Phase 01_05+).
opponent_id,matches_history_minimal,VARCHAR,Opposing player identifier. Same grain and provenance as player_id.,see notes,NULLABLE,none,IDENTIFIER,01_04_03,IDENTITY.
faction,matches_history_minimal,VARCHAR,"Focal player's faction. Per-dataset polymorphic vocabulary. aoestats: full civilization names (Mongols, Franks, etc. -- ~50 distinct). CONSUMERS MUST NOT treat faction as a single categorical feature ",see notes,NULLABLE,none,PRE_GAME,01_04_03,"PRE_GAME. Full civilization name from p{0,1}_civ. Polymorphic I8 contract."
opponent_faction,matches_history_minimal,VARCHAR,Opposing player's faction (same per-dataset vocabulary as `faction`).,see notes,NULLABLE,none,PRE_GAME,01_04_03,PRE_GAME. Mirror of faction from the opponent row.
won,matches_history_minimal,BOOLEAN,"TRUE if the focal player won, FALSE otherwise. The two rows of a match have complementary `won` values (exactly one TRUE, one FALSE). UNION ALL erases upstream slot asymmetry (team=1 wins ~52.27% upst","{TRUE, FALSE, NULL}",NULLABLE,none,TARGET,01_04_03,"TARGET. Direct projection of p{0,1}_winner from matches_1v1_clean. Prediction label for downstream experiments."
duration_seconds,matches_history_minimal,BIGINT,Match duration in seconds (POST_GAME_HISTORICAL). For aoestats: CAST(matches_raw.duration / 1_000_000_000 AS BIGINT). matches_raw.duration is Arrow duration[ns] mapped to BIGINT NANOSECONDS by DuckDB ,≥0s,NULLABLE,seconds,POST_GAME_HISTORICAL,01_04_03,"POST_GAME_HISTORICAL. Available only after match end. DO NOT use as PRE_GAME feature for predicting match T outcome (I3 violation). Useful for retrospective analysis: rating-update weighting, learning-curve measurement, game-length-conditioned BTL. Phase 02 feature extractors that drop POST_GAME_HIS"
dataset_tag,matches_history_minimal,VARCHAR,Dataset discriminator for UNION ALL across sibling datasets. Constant 'aoestats' in this VIEW.,see notes,NOT NULL,none,IDENTIFIER,01_04_03,IDENTITY. Matches the prefix before '::' in match_id.
game_id,matches_1v1_clean,VARCHAR,"Match identifier, shared with matches_raw. Join key.",see notes,NULLABLE,none,IDENTIFIER,01_04_02,IDENTITY. Primary key; 1-row-per-match invariant (asserted in 01_04_02).
started_timestamp,matches_1v1_clean,TIMESTAMP WITH TIME ZONE,Match start time (UTC-aware). Temporal anchor for I3 enforcement.,see notes,NULLABLE,none,METADATA,01_04_02,CONTEXT. I3: Downstream feature queries MUST filter player_history_all by ph.started_timestamp < this value.
map,matches_1v1_clean,VARCHAR,Map name for the match.,see notes,NULLABLE,none,PRE_GAME,01_04_02,PRE_GAME. Selected before match starts. 77 distinct maps in 1v1 ranked scope.
mirror,matches_1v1_clean,BOOLEAN,Whether both players played the same civilization.,"{TRUE, FALSE, NULL}",NULLABLE,none,PRE_GAME,01_04_02,PRE_GAME. From matches_raw. TRUE if both players chose the same civilization.
patch,matches_1v1_clean,BIGINT,Game patch number at match time.,see notes,NULLABLE,none,METADATA,01_04_02,CONTEXT. Temporal stratification variable. 19 distinct patches in scope.
replay_enhanced,matches_1v1_clean,BOOLEAN,Whether the match record was enhanced via replay parsing.,"{TRUE, FALSE, NULL}",NULLABLE,none,METADATA,01_04_02,CONTEXT. From matches_raw.
avg_elo,matches_1v1_clean,DOUBLE,Average ELO of both players. NULL if either player was unrated (avg_elo=0 sentinel).,see notes,NULLABLE,Elo points,PRE_GAME,01_04_02,PRE_GAME. Average of team_0_elo and team_1_elo. Sentinel=0 converted to NULL via NULLIF in 01_04_02 (DS-AOESTATS-03). ~118 rows affected.
team_0_elo,matches_1v1_clean,DOUBLE,Team 0 ELO rating before the match.,see notes,NULLABLE,Elo points,PRE_GAME,01_04_02,[PRE-canonical_slot] team=0/1 assignment is skill-correlated per W3 ARTEFACT_EDGE (01_04_05). PRE_GAME. Team 0 aggregate ELO. Sentinel=-1 absent in 1v1 ranked scope (DS-AOESTATS-01; F1 override).
team_1_elo,matches_1v1_clean,DOUBLE,Team 1 ELO rating before the match.,see notes,NULLABLE,Elo points,PRE_GAME,01_04_02,[PRE-canonical_slot] team=0/1 assignment is skill-correlated per W3 ARTEFACT_EDGE (01_04_05). PRE_GAME. Team 1 aggregate ELO. Sentinel=-1 absent in 1v1 ranked scope (DS-AOESTATS-01; F1 override).
p0_profile_id,matches_1v1_clean,BIGINT,Player 0 profile identifier.,see notes,NULLABLE,none,IDENTIFIER,01_04_02,[PRE-canonical_slot] team=0/1 assignment is skill-correlated per W3 ARTEFACT_EDGE (01_04_05). IDENTITY. Player 0 account identifier (team=0). CAST from DOUBLE to BIGINT.
p0_civ,matches_1v1_clean,VARCHAR,Civilization chosen by player 0.,see notes,NULLABLE,none,PRE_GAME,01_04_02,[PRE-canonical_slot] team=0/1 assignment is skill-correlated per W3 ARTEFACT_EDGE (01_04_05). PRE_GAME. Player 0 civilization choice. 50 distinct civilizations in scope.
p0_old_rating,matches_1v1_clean,BIGINT,Player 0 ELO rating before the match. NULL if player was unrated (sentinel=0).,see notes,NULLABLE,Elo points,PRE_GAME,01_04_02,"[PRE-canonical_slot] team=0/1 assignment is skill-correlated per W3 ARTEFACT_EDGE (01_04_05). PRE_GAME. Player 0 ELO before the match. Sentinel=0 converted to NULL via NULLIF in 01_04_02 (DS-AOESTATS-02). ~4,730 rows affected. See p0_is_unrated for missingness-as-signal flag."
p0_is_unrated,matches_1v1_clean,BOOLEAN,TRUE if player 0 was unrated (p0_old_rating=0 before NULLIF). BOOLEAN.,"{TRUE, FALSE, NULL}",NULLABLE,none,PRE_GAME,01_04_02,[PRE-canonical_slot] team=0/1 assignment is skill-correlated per W3 ARTEFACT_EDGE (01_04_05). PRE_GAME. Indicator flag for unrated players (old_rating=0 sentinel). Derives from PRE_GAME p0_old_rating; safe as feature without temporal filter. New in 01_04_02.
p0_winner,matches_1v1_clean,BOOLEAN,Whether player 0 won the match.,"{TRUE, FALSE, NULL}",NULLABLE,none,TARGET,01_04_02,[PRE-canonical_slot] team=0/1 assignment is skill-correlated per W3 ARTEFACT_EDGE (01_04_05). POST_GAME_HISTORICAL. Whether player 0 (team=0) won. Zero NULLs (F1 override). Used internally for target derivation; NOT a direct feature for game T.
p1_profile_id,matches_1v1_clean,BIGINT,Player 1 profile identifier.,see notes,NULLABLE,none,IDENTIFIER,01_04_02,[PRE-canonical_slot] team=0/1 assignment is skill-correlated per W3 ARTEFACT_EDGE (01_04_05). IDENTITY. Player 1 account identifier (team=1). CAST from DOUBLE to BIGINT.
p1_civ,matches_1v1_clean,VARCHAR,Civilization chosen by player 1.,see notes,NULLABLE,none,PRE_GAME,01_04_02,[PRE-canonical_slot] team=0/1 assignment is skill-correlated per W3 ARTEFACT_EDGE (01_04_05). PRE_GAME. Player 1 civilization choice. 50 distinct civilizations in scope.
p1_old_rating,matches_1v1_clean,BIGINT,Player 1 ELO rating before the match. NULL if player was unrated (sentinel=0).,see notes,NULLABLE,Elo points,PRE_GAME,01_04_02,[PRE-canonical_slot] team=0/1 assignment is skill-correlated per W3 ARTEFACT_EDGE (01_04_05). PRE_GAME. Player 1 ELO before the match. Sentinel=0 converted to NULL via NULLIF in 01_04_02 (DS-AOESTATS-02). ~188 rows affected. See p1_is_unrated for missingness-as-signal flag.
p1_is_unrated,matches_1v1_clean,BOOLEAN,TRUE if player 1 was unrated (p1_old_rating=0 before NULLIF). BOOLEAN.,"{TRUE, FALSE, NULL}",NULLABLE,none,PRE_GAME,01_04_02,[PRE-canonical_slot] team=0/1 assignment is skill-correlated per W3 ARTEFACT_EDGE (01_04_05). PRE_GAME. Indicator flag for unrated players (old_rating=0 sentinel). Derives from PRE_GAME p1_old_rating; safe as feature without temporal filter. New in 01_04_02.
p1_winner,matches_1v1_clean,BOOLEAN,Whether player 1 won the match.,"{TRUE, FALSE, NULL}",NULLABLE,none,TARGET,01_04_02,[PRE-canonical_slot] team=0/1 assignment is skill-correlated per W3 ARTEFACT_EDGE (01_04_05). POST_GAME_HISTORICAL. Whether player 1 (team=1) won. Zero NULLs (F1 override). Used internally for target derivation; NOT a direct feature for game T.
team1_wins,matches_1v1_clean,BOOLEAN,TRUE if team 1 (player 1) won the match. Prediction target.,"{TRUE, FALSE, NULL}",NULLABLE,none,TARGET,01_04_02,[PRE-canonical_slot] team=0/1 assignment is skill-correlated per W3 ARTEFACT_EDGE (01_04_05). TARGET. Primary prediction label. Derived as p1.winner AS team1_wins. BOOLEAN strict 0/1 -- no Undecided/Tie analog in aoestats (CRITICAL ASYMMETRY). WARNING (I5): team=1 wins ~52.27% of matches (slot asymmetry). Phase 02 MUST randomise focal/opponent assignment before training.
duration_seconds,matches_1v1_clean,BIGINT,"Match duration in seconds (BIGINT). NULL count: 0. Range: 3s to 5,574,815s. 28 matches > 86400s (suspicious).",≥0s,NULLABLE,seconds,POST_GAME_HISTORICAL,01_04_02,POST_GAME_HISTORICAL. Match duration in seconds. Derived from matches_raw.duration (Arrow duration[ns] -> BIGINT nanoseconds per DuckDB 1.5.1; divisor 1_000_000_000 cites aoestats/pre_ingestion.py:271). I3: NOT a direct feature for game T; safe only as aggregated historical stat filtered by match_ti
is_duration_suspicious,matches_1v1_clean,BOOLEAN,TRUE if duration_seconds > 86400 (24h canary threshold). 28 matches flagged (0.00016% of dataset).,"{TRUE, FALSE, NULL}",NULLABLE,none,POST_GAME_HISTORICAL,01_04_02,POST_GAME_HISTORICAL. TRUE where duration_seconds > 86400 (24h threshold). I7: 86400s = cross-dataset canonical sanity bound (~25x p99; I8 contract). Provenance: 01_04_03 Gate+5b (research_log.md 2026-04-18). Flags raw-data corruption for Phase 02 outlier filtering. ADDENDUM 2026-04-18.
profile_id,player_history_all,BIGINT,"Player account identifier, cast from DOUBLE to BIGINT (R01).",see notes,NULLABLE,none,IDENTIFIER,01_04_02,"IDENTITY. CAST from DOUBLE -- safe per T01 (max=24,853,897 < 2^53). Use as player FK."
game_id,player_history_all,VARCHAR,"Match identifier, shared with matches_raw.",see notes,NULLABLE,none,IDENTIFIER,01_04_02,IDENTITY. Join key to matches_raw.
started_timestamp,player_history_all,TIMESTAMP WITH TIME ZONE,Match start time (UTC-aware). Temporal anchor for I3 enforcement.,see notes,NULLABLE,none,TARGET,01_04_02,"CONTEXT. I3: Downstream feature queries MUST add
WHERE ph.started_timestamp < target_match.started_timestamp.
Rows with NULL started_timestamp excluded by VIEW predicate."
leaderboard,player_history_all,VARCHAR,"Ladder or game-type identifier (e.g., random_map, team_random_map, co_random_map).",see notes,NULLABLE,none,METADATA,01_04_02,CONTEXT. No leaderboard restriction -- all game types included for full-history feature computation.
map,player_history_all,VARCHAR,Map name for the match.,see notes,NULLABLE,none,PRE_GAME,01_04_02,PRE_GAME (selected before match starts).
patch,player_history_all,BIGINT,Game patch number at match time.,see notes,NULLABLE,none,METADATA,01_04_02,CONTEXT. Temporal stratification variable.
player_count,player_history_all,BIGINT,Total number of player rows for this game_id in players_raw.,see notes,NULLABLE,none,METADATA,01_04_02,"CONTEXT. Computed via COUNT(*) GROUP BY game_id. Includes 1v1 (2), team (4, 6, 8), and edge cases."
mirror,player_history_all,BOOLEAN,Whether both players played the same civilization.,"{TRUE, FALSE, NULL}",NULLABLE,none,PRE_GAME,01_04_02,PRE_GAME descriptive. From matches_raw.
replay_enhanced,player_history_all,BOOLEAN,Whether the match record was enhanced via replay parsing.,"{TRUE, FALSE, NULL}",NULLABLE,none,METADATA,01_04_02,CONTEXT. From matches_raw.
civ,player_history_all,VARCHAR,Civilization chosen by this player for this match.,see notes,NULLABLE,none,PRE_GAME,01_04_02,PRE_GAME. Key feature for faction proficiency computation in Phase 02.
team,player_history_all,BIGINT,Team identifier (0 or 1 for 1v1 matches; higher for team games).,see notes,NULLABLE,none,METADATA,01_04_02,[PRE-canonical_slot] team=0/1 assignment is skill-correlated per W3 ARTEFACT_EDGE (01_04_05). CONTEXT. Retained for player-row orientation. No wide-format pivot in this VIEW.
old_rating,player_history_all,BIGINT,Player ELO rating before the match started. NULL if player was unrated (old_rating=0 sentinel).,see notes,NULLABLE,Elo points,PRE_GAME,01_04_02,PRE_GAME. I3-safe: recorded before match. Key feature for Phase 02. Sentinel=0 (unrated player) converted to NULL via NULLIF in 01_04_02 (DS-AOESTATS-02); see is_unrated companion flag for missingness-as-signal preservation.
is_unrated,player_history_all,BOOLEAN,TRUE if this player was unrated (old_rating=0 before NULLIF). Preserves missingness-as-signal.,"{TRUE, FALSE, NULL}",NULLABLE,none,PRE_GAME,01_04_02,PRE_GAME. Indicator flag for unrated players (old_rating=0 sentinel). Derives from PRE_GAME old_rating; safe as feature without temporal filter. New in 01_04_02.
winner,player_history_all,BOOLEAN,Whether this player won the match.,"{TRUE, FALSE, NULL}",NULLABLE,none,TARGET,01_04_02,TARGET. Used as prediction label in matches_1v1_clean (via p0_winner/p1_winner). Retained here for win-rate feature computation across all game types.
