column_name,table_or_view,dtype,semantics,valid_range,nullability,units,temporal_classification,provenance_step,invariant_notes
match_id,matches_history_minimal,VARCHAR,Cross-dataset unique match identifier. Format: '<dataset_tag>::<native_id>'. For aoe2companion: 'aoe2companion::<decimal-matchId>'. Provenance: numeric-tail regex [0-9]+ cites matches_raw.yaml line `m,see notes,NULLABLE,none,IDENTIFIER,01_04_03,IDENTITY. Prefix applied in DDL only; upstream matchId unchanged (I9).
started_at,matches_history_minimal,TIMESTAMP,Match start time. TIMESTAMP (no TZ) -- pass-through from matches_raw.started (already TIMESTAMP per matches_raw.yaml).,see notes,NULLABLE,none,METADATA,01_04_03,CONTEXT. Temporal anchor for Phase 02 rating-update loops.
player_id,matches_history_minimal,VARCHAR,Focal player identifier. aoe2companion: CAST(profileId AS VARCHAR) (INTEGER -> VARCHAR).,see notes,NULLABLE,none,IDENTIFIER,01_04_03,IDENTITY.
opponent_id,matches_history_minimal,VARCHAR,Opposing player identifier. Same grain and provenance as player_id.,see notes,NULLABLE,none,IDENTIFIER,01_04_03,IDENTITY.
faction,matches_history_minimal,VARCHAR,Focal player's faction. Per-dataset polymorphic vocabulary. aoe2companion: full civilization names (zero NULLs upstream). CONSUMERS MUST NOT treat faction as single categorical across datasets.,see notes,NULLABLE,none,PRE_GAME,01_04_03,PRE_GAME. Raw civ vocabulary. Polymorphic I8 contract. Zero NULLs.
opponent_faction,matches_history_minimal,VARCHAR,Opposing player's faction (same per-dataset vocabulary as `faction`).,see notes,NULLABLE,none,PRE_GAME,01_04_03,PRE_GAME. Mirror of faction from the opponent row. Zero NULLs.
won,matches_history_minimal,BOOLEAN,"TRUE if the focal player won, FALSE otherwise. Complementary between the 2 rows.","{TRUE, FALSE, NULL}",NULLABLE,none,TARGET,01_04_03,TARGET. Prediction label for downstream experiments. Zero NULLs.
duration_seconds,matches_history_minimal,BIGINT,Match duration in seconds (POST_GAME_HISTORICAL). For aoe2companion: CAST(EXTRACT(EPOCH FROM (r.finished - r.started)) AS BIGINT). EXTRACT(EPOCH FROM) is standard DuckDB function returning DOUBLE seco,≥0s,NULLABLE,seconds,POST_GAME_HISTORICAL,01_04_03,"POST_GAME_HISTORICAL. Available only after match end. DO NOT use as PRE_GAME feature for predicting match T outcome (I3 violation). Useful for retrospective analysis: rating-update weighting, learning-curve measurement, game-length-conditioned BTL. Phase 02 feature extractors that drop POST_GAME_HIS"
dataset_tag,matches_history_minimal,VARCHAR,Dataset discriminator for UNION ALL across sibling datasets. Constant 'aoe2companion' in this TABLE.,see notes,NOT NULL,none,IDENTIFIER,01_04_03,IDENTITY. Matches the prefix before '::' in match_id.
matchId,matches_1v1_clean,INTEGER,Match identifier from matches_raw.,see notes,NULLABLE,none,IDENTIFIER,01_04_02,IDENTITY. Primary key; R03 1v1 complementarity invariant (each match has exactly one TRUE + one FALSE won row).
started,matches_1v1_clean,TIMESTAMP,Match start timestamp. Temporal anchor for I3 discipline.,see notes,NULLABLE,none,METADATA,01_04_02,CONTEXT. I3: Downstream feature queries MUST filter player_history_all by ph.started < this value.
leaderboard,matches_1v1_clean,VARCHAR,"Ladder name (e.g., rm_1v1).",see notes,NULLABLE,none,METADATA,01_04_02,"CONTEXT. Ladder name; 2 distinct values in 1v1 ranked scope (rm_1v1, rm_team analog)."
name,matches_1v1_clean,VARCHAR,Player in-game display name at time of match.,see notes,NULLABLE,none,IDENTIFIER,01_04_02,IDENTITY. Player in-game display name. ~0.00% NULL (MCAR; RETAIN_AS_IS).
